producto,precio_unitario,talla,cantidad,vendedor,total,fecha
Camisa Polo Slim Fit Algodon,200000,XS,1,Ana Valencia,200000,2026-02-06
Jeans Classic Blue Denim,180000,XL,1,Pedro Cano,180000,
Camiseta Basica Cuello V,85000,S,1,Ana Valencia,85000,2026-01-15
Jeans Classic Blue Denim,180000,S,2,Pedro Giraldo,360000,2026-02-08
Jeans Classic Blue Denim,180000,XL,3,Pedro Giraldo,540000,2026-02-08
Camisa Polo Slim Fit Algodon,200000,M,3,Pedro Giraldo,600000,
Camiseta Basica Cuello V,85000,XS,2,Ana Valencia,170000,2026-02-05
Saco Cuello Tortuga Lana,220000,L,1,Luis Valencia,220000,2026-01-26
Camisa Polo Slim Fit Algodon,200000,XL,2,Pedro Cano,400000,2026-02-27
Camisa Polo Slim Fit Algodon,200000,L,2,Pedro Cano,400000,2026-02-27
Jeans Classic Blue Denim,180000,XXL,1,Maria Valencia,180000,2026-02-05
Jeans Classic Blue Denim,180000,XS,2,Maria Valencia,360000,2026-02-05
Chaqueta Bomber Impermeable,350000,XL,2,Ana Rios,700000,2026-01-29
Saco Cuello Tortuga Lana,220000,XS,1,Ana Rios,220000,
Saco Cuello Tortuga Lana,220000,XL,3,Juan Rios,660000,
Chaqueta Bomber Impermeable,350000,S,1,Juan Rios,350000,
Camiseta Basica Cuello V,85000,L,2,Juan Rios,170000,2026-02-15
Jeans Classic Blue Denim,180000,L,1,Maria Zapata,180000,2026-01-15
Chaqueta Bomber Impermeable,350000,XS,2,Maria Zapata,700000,2026-01-15
Jeans Classic Blue Denim,180000,M,2,Maria Zapata,360000,2026-01-15
Saco Cuello Tortuga Lana,220000,M,2,Ana Rios,440000,2026-02-18
Jeans Classic Blue Denim,180000,XS,2,Ana Rios,360000,2026-02-18
Chaqueta Bomber Impermeable,350000,S,2,Juan Rios,700000,2026-01-28
